sample	formation	log_height	Ag	Al	As	Ba	Be	Bi	Ca	Cd	Ce	Co	Cr	Cs	Cu	Dy	Er	Eu	Fe	Ga	Gd	Ge	Hf	Ho	In	K	La	Li	Lu	Mg	Mn	Mo	Na	Nb	Nd	Ni	P	Pb	Pr	Rb	Re	S	Sb	Sc	Se	Sm	Sn	Sr	Ta	Tb	Te	Th	Ti	Tl	Tm	U	V	W	Y	Yb	Zn	Zr
-1 LD-KP	Kapp Starostin Fm.	-29.8		0.46	1.7	76			1.92	0.03	7.03	0.6	16	0.6	2.1	0.6	0.3	0.1	0.23	1.57	0.9		0.13	0.1		0.18	4.5	34		0.1	18	0.56	0.061	0.69	4.7	5.6	0.033	0.99	1	9	0.006	0.13	0.04	0.8	1	0.8		81			0.32	0.8	0.025			0.8	9		4.7	0.2	5.4	5.1
L-0-2 LD-KP	Kapp Starostin Fm.	-26.6	48	1.14	5	117	1		7.95	0.15	24.78	0.9	57	1.7	2.3	2.7	1.1	0.6	1.16	3.19	3.1		0.19	0.5	0.02	0.53	19.2	47.6	0.1	0.26	176	2.18	0.065	1.11	17.7	10.2	0.175	2.68	4.2	28.8	0.008	0.1	0.1	1.9	1	3.3	0.1	181		0.3	1.23	2.2	0.044	0.14	0.2	1.9	24	0.1	19.2	1.2	22.6	7.9
L-1 LD-KP	Kapp Starostin Fm.	-26.1	35	0.6	2	100			2.93	0.05	15.28	0.6	32	0.8	1.7	1.4	0.7	0.4	0.43	1.46	2		0.08	0.3		0.26	10.3	60.7		0.1	60	0.82	0.061	0.6	9.5	5.7	0.131	1.65	2.3	13.1	0.008	0.11	0.06	1	0.7	2		148		0.1	0.45	1.2	0.026	0.07		1.1	16		10.5	0.5	10.1	2.6
L-2 LD-KP	Kapp Starostin Fm.	-25.4	58	0.87	5.7	173	1		8.06	0.09	32.81	1.3	60	1.3	3.5	2.9	1.3	0.7	1.31	4.11	4.3		0.03	0.5		0.47	21.1	50.2	0.1	0.31	184	3.51	0.045	0.72	20.7	11.1	0.412	3.94	5	26.1	0.003	0.76	0.24	1.9	1.3	3.6	0.1	144		0.4	1.15	1.8	0.024	0.2	0.2	2.2	25		23.5	1.1	14.2	1.5
L-3 LD-KP	Kapp Starostin Fm.	-25.1	89	3	5.1	175	2	0.06	3.81	0.22	23.78	4.6	92	4.8	7.2	2	1.1	0.5	1.78	6.71	2.6		1.24	0.3	0.04	1.18	16.6	54.6	0.2	0.69	90	2.8	0.114	4.62	12.7	31	0.15	7.59	3.3	65.5	0.014	0.32	0.26	5.7	1.3	2.6	0.9	105	0.3	0.2	0.65	4.4	0.16	0.44	0.2	3.3	64	0.5	13.2	1.1	61.9	40.8
L-4 LD-KP	Kapp Starostin Fm.	-24.5	73	2.4	2.7	197			3.28	0.11	20.35	2.9	51	3.5	5.6	1.8	0.8	0.4	1.66	5.33	2.2		0.82	0.3	0.03	0.82	13.1	57.2	0.1	0.73	94	1.69	0.102	3.4	10.9	23.2	0.069	4.62	2.6	45.4	0.002	0.34	0.13	4.2	1.3	2.5	0.6	95	0.2	0.1	0.79	3.1	0.12	0.28	0.1	1.6	42	0.4	10.4	0.8	43	27.3
L-5 LD-KP	Kapp Starostin Fm.	-24.2	75	2.47	3.3	180			2.83	1.4	22.37	2.9	57	3.3	6.7	1.8	0.9	0.5	1.86	5.79	2.4		0.81	0.3	0.03	0.81	13.2	63.2		0.75	80	2.17	0.112	3.4	14.1	26.8	0.077	4.63	3.1	44.9	0.013	0.25	0.15	4.5	1.8	2.6	0.7	107	0.2	0.2	0.64	3.3	0.119	0.28	0.1	1.6	43	0.4	12.1	0.8	122.9	28.4
L-B LD-KP	Kapp Starostin Fm.	-23.6	84	2.53	5.5	302		0.05	3.5	0.21	20.85	4.1	52	3.7	8	1.5	0.8	0.4	1.9	6.26	2.1		0.95	0.3	0.02	0.85	13.1	54.2		0.74	89	2.73	0.136	3.69	11.1	31.3	0.05	5.91	2.8	48.1	0.014	0.63	0.17	4.6	1.6	2.1	0.7	102	0.2	0.2	0.54	3.5	0.133	0.38	0.1	1.9	45	0.4	9.6	0.9	52.7	31.5
L-7 LD-KP	Kapp Starostin Fm.	-17	34	0.67	5.3	114			4.02	0.21	19.82	1	45	0.8	2.6	1.9	0.6	0.5	0.73	2.12	2.3		0.12	0.3		0.31	13	38.4		0.13	45	1.66	0.067	0.99	13.6	9	0.101	2.27	3	16.2	0.004	0.1	0.13	1.1	1.1	2.5	0.1	102		0.2	0.58	2.1	0.036	0.07		1.4	22	0.1	10.8	0.5	44.8	5.6
Ext Lingula LD -13	Kapp Starostin Fm.	-13.83	68	1.47	10.4	98	2		1.83	0.22	87.67	1.2	230	0.8		10	4	2.5	3.44	4.11	12.4			1.6	0.01	0.46	71.4	49.5	0.4	0.53	93	0.77	0.033	0.91	72	14.5	0.827	5.55	15.9	24.1	0.003	0.05	0.23	3.1	1.6	12.5	0.3	87		1.4	0.45	3.1	0.033	0.1	0.5	4	50		68	3.1	74.1	0.8
